"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","77.7","","","","1"
"1990-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","77.9","","","","1"
"1990-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","77.9","","","","1"
"1990-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","78.3","","","","1"
"1990-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","78.6","","","","1"
"1990-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","79.0","","","","1"
"1990-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","79.0","","","","1"
"1990-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","79.1","","","","1"
"1990-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","79.8","","","","1"
"1990-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","80.3","","","","1"
"1990-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","79.9","","","","1"
"1991-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","81.6","","","","1"
"1991-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","81.6","","","","1"
"1991-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","81.8","","","","1"
"1991-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","81.9","","","","1"
"1991-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","82.4","","","","1"
"1991-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","82.8","","","","1"
"1991-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","83.0","","","","1"
"1991-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","83.0","","","","1"
"1991-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","82.8","","","","1"
"1991-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","82.4","","","","1"
"1991-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","82.8","","","","1"
"1991-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","82.4","","","","1"
"1992-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","82.5","","","","1"
"1992-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","82.7","","","","1"
"1992-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","82.8","","","","1"
"1992-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","82.9","","","","1"
"1992-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","83.1","","","","1"
"1992-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","83.3","","","","1"
"1992-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","83.5","","","","1"
"1992-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","83.5","","","","1"
"1992-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","83.3","","","","1"
"1992-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","83.4","","","","1"
"1992-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","83.8","","","","1"
"1992-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","83.8","","","","1"
"1993-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","84.0","","","","1"
"1993-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","84.4","","","","1"
"1993-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","84.5","","","","1"
"1993-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","84.3","","","","1"
"1993-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","84.4","","","","1"
"1993-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","84.6","","","","1"
"1993-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","84.8","","","","1"
"1993-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","84.8","","","","1"
"1993-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","84.9","","","","1"
"1993-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","85.1","","","","1"
"1993-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","85.3","","","","1"
"1993-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","85.3","","","","1"
"1994-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","85.1","","","","1"
"1994-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","84.6","","","","1"
